1427010739 1 0 0
1427012186 2 0 0
1427012198 3 0 0
1427012206 4 0 0
1427020978 5 0 0
1427020990 6 0 0
1427026053 7 0 0
1427027143 8 0 0
1427027151 9 0 0
1427027182 10 0 0
1427030573 11 0 0
1427033314 12 0 0
1427033325 13 0 0
1427033344 14 0 0
1427033464 15 0 0
1427035308 16 0 0
1427035316 17 0 0
1427036897 18 0 0
1427036907 19 0 0
1428919091 20 0 0
1428919108 21 0 0
1429968316 21 1 0
1430031949 21 2 0
1430032129 22 2 0
1430032150 23 2 0
1430032221 24 2 0
1430126363 25 2 0
1430126377 26 2 0
1430126759 26 2 1
1430316826 27 2 1
1430316845 28 2 1
1432139684 28 3 1
1432140018 28 4 1
1434479454 29 4 1
1434479528 30 4 1
1434623005 31 4 1
1434624077 32 4 1
1434624433 33 4 1
1434624442 34 4 1
1434624467 35 4 1
1434624560 36 4 1
1434624705 37 4 1
1434624725 38 4 1
1434624764 39 4 1
1434625630 40 4 1
1434625652 41 4 1
1434625666 42 4 1
1434625898 43 4 1
1434626308 44 5 1
1434632942 45 5 1
1434634060 46 5 1
1434634771 47 5 1
1434634957 48 5 1
1434635767 49 5 1
1436435364 49 6 1
1436438848 50 6 1
1437040556 51 6 1
1439101344 52 6 1
1439122469 53 6 1
1439125455 54 6 1
1439193902 55 6 1
1439368917 56 6 1
1440049540 57 6 1
1442734110 57 7 1
1442734898 58 7 1
1442736044 58 8 1
1442736177 59 8 1
1443710223 60 8 1
1443710270 61 8 1
1443711119 62 8 1
1443713722 63 8 1
1443713770 64 8 1
1444018697 65 8 1
1444018710 66 8 1
1444018772 67 8 1
1444018848 68 8 1
